Gene	sgRNA	eff
MYLK3	ID_56016	1
MYLK3	ID_56015	1
MYLK3	ID_56014	1
MYLK3	ID_56013	1
controlguide284	ID_76725	1
ZNF597	ID_61589	1
ZNF597	ID_61591	1
ZNF597	ID_61592	1
ZNF597	ID_61590	1
HMOX1	ID_8523	1
HMOX1	ID_8524	1
HMOX1	ID_8522	1
HMOX1	ID_8521	1
FAM150B	ID_68016	1
FAM150B	ID_68015	1
FAM150B	ID_68013	1
FAM150B	ID_68014	1
SLC4A8	ID_25015	1
SLC4A8	ID_25016	1
SLC4A8	ID_25013	1
SLC4A8	ID_25014	1
controlguide642	ID_77083	1
TOP1MT	ID_57766	1
TOP1MT	ID_57768	1
TOP1MT	ID_57765	1
TOP1MT	ID_57767	1
TIMMDC1	ID_38417	1
TIMMDC1	ID_38418	1
TIMMDC1	ID_38416	1
TIMMDC1	ID_38415	1
GIPC1	ID_29081	1
GIPC1	ID_29079	1
GIPC1	ID_29080	1
GIPC1	ID_29082	1
KRTAP11-1	ID_68614	1
KRTAP11-1	ID_68613	1
KRTAP11-1	ID_68615	1
KRTAP11-1	ID_68616	1
OTULIN	ID_55371	1
OTULIN	ID_55374	1
OTULIN	ID_55372	1
OTULIN	ID_55373	1
POU3F4	ID_14457	1
POU3F4	ID_14460	1
POU3F4	ID_14459	1
POU3F4	ID_14458	1
CREBZF	ID_46557	1
CREBZF	ID_46555	1
CREBZF	ID_46558	1
CREBZF	ID_46556	1
controlguide200	ID_76641	1
TSC22D1	ID_23187	1
TSC22D1	ID_23186	1
TSC22D1	ID_23185	1
TSC22D1	ID_23188	1
OR6C65	ID_72622	1
OR6C65	ID_72623	1
OR6C65	ID_72621	1
OR6C65	ID_72624	1
EPHA6	ID_68072	1
EPHA6	ID_68070	1
EPHA6	ID_68069	1
EPHA6	ID_68071	1
PTAFR	ID_15300	1
PTAFR	ID_15299	1
PTAFR	ID_15298	1
PTAFR	ID_15297	1
OR52A5	ID_71555	1
OR52A5	ID_71556	1
OR52A5	ID_71553	1
OR52A5	ID_71554	1
FAM161A	ID_52980	1
FAM161A	ID_52979	1
FAM161A	ID_52981	1
FAM161A	ID_52982	1
AHSA2	ID_59882	1
AHSA2	ID_59881	1
AHSA2	ID_59884	1
AHSA2	ID_59883	1
SBK3	ID_75316	1
SBK3	ID_75317	1
SBK3	ID_75319	1
SBK3	ID_75318	1
LYZL1	ID_53818	1
LYZL1	ID_53815	1
LYZL1	ID_53817	1
LYZL1	ID_53816	1
NR2F1	ID_19025	1
NR2F1	ID_19027	1
NR2F1	ID_19028	1
NR2F1	ID_19026	1
OSR2	ID_57615	1
OSR2	ID_57613	1
OSR2	ID_57616	1
OSR2	ID_57614	1
ZNF878	ID_74973	1
ZNF878	ID_74972	1
ZNF878	ID_74974	1
ZNF878	ID_74975	1
ASPRV1	ID_62516	1
ASPRV1	ID_62513	1
ASPRV1	ID_62515	1
ASPRV1	ID_62514	1
TIGD2	ID_63915	1
TIGD2	ID_63914	1
TIGD2	ID_63916	1
TIGD2	ID_63913	1
DUSP23	ID_41053	1
DUSP23	ID_41052	1
DUSP23	ID_41051	1
DUSP23	ID_41054	1
KRTAP2-3	ID_75073	1
KRTAP2-3	ID_75072	1
KRTAP2-3	ID_75074	1
KRTAP2-3	ID_75075	1
SPRR2F	ID_18123	1
SPRR2F	ID_18121	1
SPRR2F	ID_18124	1
SPRR2F	ID_18122	1
ZZEF1	ID_31847	1
ZZEF1	ID_31848	1
ZZEF1	ID_31850	1
ZZEF1	ID_31849	1
TEX9	ID_70303	1
TEX9	ID_70301	1
TEX9	ID_70304	1
TEX9	ID_70302	1
WDR60	ID_41606	1
WDR60	ID_41604	1
WDR60	ID_41603	1
WDR60	ID_41605	1
RGS9BP	ID_71047	1
RGS9BP	ID_71046	1
RGS9BP	ID_71048	1
RGS9BP	ID_71045	1
SCMH1	ID_31332	1
SCMH1	ID_31331	1
SCMH1	ID_31334	1
SCMH1	ID_31333	1
CCDC38	ID_58308	1
CCDC38	ID_58307	1
CCDC38	ID_58305	1
CCDC38	ID_58306	1
PDGFC	ID_43858	1
PDGFC	ID_43857	1
PDGFC	ID_43855	1
PDGFC	ID_43856	1
LOC101929983	ID_76393	1
LOC101929983	ID_76392	1
LOC101929983	ID_76390	1
LOC101929983	ID_76391	1
FKBPL	ID_47199	1
FKBPL	ID_47202	1
FKBPL	ID_47200	1
FKBPL	ID_47201	1
KDM4C	ID_31671	1
KDM4C	ID_31673	1
KDM4C	ID_31674	1
KDM4C	ID_31672	1
ZC3HAV1	ID_44411	1
ZC3HAV1	ID_44412	1
ZC3HAV1	ID_44414	1
ZC3HAV1	ID_44413	1
CXorf21	ID_50976	1
CXorf21	ID_50977	1
CXorf21	ID_50978	1
CXorf21	ID_50975	1
ARHGEF7	ID_23259	1
ARHGEF7	ID_23260	1
ARHGEF7	ID_23257	1
ARHGEF7	ID_23258	1
PANO1	ID_76338	1
PANO1	ID_76340	1
PANO1	ID_76341	1
PANO1	ID_76339	1
TMX2	ID_37709	1
TMX2	ID_37707	1
TMX2	ID_37708	1
TMX2	ID_37710	1
ADGRA2	ID_34202	1
ADGRA2	ID_34201	1
ADGRA2	ID_34199	1
ADGRA2	ID_34200	1
C5orf51	ID_68233	1
C5orf51	ID_68236	1
C5orf51	ID_68234	1
C5orf51	ID_68235	1
ARID5B	ID_53015	1
ARID5B	ID_53017	1
ARID5B	ID_53016	1
ARID5B	ID_53018	1
RC3H2	ID_40197	1
RC3H2	ID_40198	1
RC3H2	ID_40196	1
RC3H2	ID_40195	1
HNRNPCL4	ID_76311	1
HNRNPCL4	ID_76310	1
HNRNPCL4	ID_76313	1
HNRNPCL4	ID_76312	1
RTTN	ID_34073	1
RTTN	ID_34074	1
RTTN	ID_34072	1
RTTN	ID_34071	1
ADD3	ID_326	1
ADD3	ID_327	1
ADD3	ID_325	1
ADD3	ID_328	1
KIAA1191	ID_45214	1
KIAA1191	ID_45211	1
KIAA1191	ID_45212	1
KIAA1191	ID_45213	1
CXCL13	ID_28502	1
CXCL13	ID_28503	1
CXCL13	ID_28504	1
CXCL13	ID_28501	1
controlguide821	ID_77262	1
EVC2	ID_60107	1
EVC2	ID_60108	1
EVC2	ID_60106	1
EVC2	ID_60105	1
ZER1	ID_28099	1
ZER1	ID_28097	1
ZER1	ID_28098	1
ZER1	ID_28100	1
OR52K2	ID_58207	1
OR52K2	ID_58208	1
OR52K2	ID_58206	1
OR52K2	ID_58205	1
OCIAD2	ID_60050	1
OCIAD2	ID_60049	1
OCIAD2	ID_60052	1
OCIAD2	ID_60051	1
KIAA1147	ID_45250	1
KIAA1147	ID_45248	1
KIAA1147	ID_45247	1
KIAA1147	ID_45249	1
SEMA4C	ID_40971	1
SEMA4C	ID_40972	1
SEMA4C	ID_40973	1
SEMA4C	ID_40974	1
MMP10	ID_11609	1
MMP10	ID_11611	1
MMP10	ID_11612	1
MMP10	ID_11610	1
FBXO48	ID_73570	1
FBXO48	ID_73571	1
FBXO48	ID_73573	1
FBXO48	ID_73572	1
SCN4A	ID_16893	1
SCN4A	ID_16894	1
SCN4A	ID_16895	1
SCN4A	ID_16896	1
PTPRU	ID_26923	1
PTPRU	ID_26924	1
PTPRU	ID_26922	1
PTPRU	ID_26921	1
CEP295NL	ID_76221	1
CEP295NL	ID_76218	1
CEP295NL	ID_76219	1
CEP295NL	ID_76220	1
PAGE1	ID_22757	1
PAGE1	ID_22760	1
PAGE1	ID_22758	1
PAGE1	ID_22759	1
GRAMD3	ID_48539	1
GRAMD3	ID_48542	1
GRAMD3	ID_48540	1
GRAMD3	ID_48541	1
MED1	ID_14503	1
MED1	ID_14501	1
MED1	ID_14502	1
MED1	ID_14504	1
controlguide984	ID_77425	1
CHRNG	ID_3266	1
CHRNG	ID_3268	1
CHRNG	ID_3265	1
CHRNG	ID_3267	1
controlguide96	ID_76537	1
SP1	ID_18011	1
SP1	ID_18012	1
SP1	ID_18010	1
SP1	ID_18009	1
DBI	ID_4547	1
DBI	ID_4546	1
DBI	ID_4545	1
DBI	ID_4548	1
AKAP3	ID_28515	1
AKAP3	ID_28516	1
AKAP3	ID_28514	1
AKAP3	ID_28513	1
ZFP14	ID_46187	1
ZFP14	ID_46188	1
ZFP14	ID_46190	1
ZFP14	ID_46189	1
MPHOSPH6	ID_27327	1
MPHOSPH6	ID_27325	1
MPHOSPH6	ID_27326	1
MPHOSPH6	ID_27328	1
FAM9C	ID_64299	1
FAM9C	ID_64298	1
FAM9C	ID_64297	1
FAM9C	ID_64300	1
DDX24	ID_44919	1
DDX24	ID_44922	1
DDX24	ID_44920	1
DDX24	ID_44921	1
LOC100132146	ID_75420	1
LOC100132146	ID_75422	1
LOC100132146	ID_75421	1
LOC100132146	ID_75423	1
HCAR2	ID_68738	1
HCAR2	ID_68740	1
HCAR2	ID_68737	1
HCAR2	ID_68739	1
HSD3B2	ID_8876	1
HSD3B2	ID_8874	1
HSD3B2	ID_8875	1
HSD3B2	ID_8873	1
controlguide317	ID_76758	1
NME3	ID_12665	1
NME3	ID_12666	1
NME3	ID_12668	1
NME3	ID_12667	1
TGM6	ID_69565	1
TGM6	ID_69567	1
TGM6	ID_69566	1
TGM6	ID_69568	1
SVOP	ID_42616	1
SVOP	ID_42615	1
SVOP	ID_42617	1
SVOP	ID_42618	1
COL15A1	ID_3650	1
COL15A1	ID_3649	1
COL15A1	ID_3652	1
COL15A1	ID_3651	1
FUZ	ID_50890	1
FUZ	ID_50887	1
FUZ	ID_50889	1
FUZ	ID_50888	1
TMEM132C	ID_56190	1
TMEM132C	ID_56192	1
TMEM132C	ID_56191	1
TMEM132C	ID_56189	1
AP3M2	ID_29634	1
AP3M2	ID_29631	1
AP3M2	ID_29632	1
AP3M2	ID_29633	1
WDFY4	ID_46279	1
WDFY4	ID_46280	1
WDFY4	ID_46281	1
WDFY4	ID_46282	1
controlguide921	ID_77362	1
CCDC130	ID_51735	1
CCDC130	ID_51738	1
CCDC130	ID_51736	1
CCDC130	ID_51737	1
HBG1	ID_8209	1
HBG1	ID_8210	1
HBG1	ID_8212	1
