Name,Smiles,Unaligned Pharm. Score,rmsd,Binding Affinity Score,Pharm. Score
ZINC32553352,n1c(nc(nc1N)c2ccc(cc2)C#N)Nc3ccc(cc3)C,75.92,0.9769095,-21.43,75.99
ZINC02918163,FC(F)Oc1ccc(cc1)C4n2ncnc2NC(c3ccc(OC)cc3)C4,76.32,0.93648046,-13.1,75.98
ZINC09357347,s1c3n(nc1c2cc(OC)c(OC)c(OC)c2)c(nn3)c4n[nH]c(c4)C,-1.0,0.95615536,-4.53,75.97
ZINC32553352,n1c(nc(nc1N)c2ccc(cc2)C#N)Nc3ccc(cc3)C,66.25,0.95024604,-11.52,75.97
ZINC09430408,O(c1ccc(cc1)C6Nc2n(nc(n2)N4C(=O)c3c(cccc3)C4=O)C(c5ccc(OC)cc5)C6)C,-1.0,0.93625796,-19.15,75.96
ZINC02918170,FC(F)Oc1ccc(cc1)C4n2nnnc2NC(c3ccc(OC)cc3)C4,66.59,0.9360908,-18.22,75.96
ZINC72161754,O(c4ncc(c3c1c([nH]cc1)nc(NCc2cnccc2)c3)cc4)C,85.89,0.9251737,-12.44,75.96
ZINC01075859,FC(F)Oc1ccc(cc1)C4n2nnnc2NC(c3cc(OC)ccc3)C4,76.41,0.9362533,-17.08,75.95
ZINC02918170,FC(F)Oc1ccc(cc1)C4n2nnnc2NC(c3ccc(OC)cc3)C4,76.3,0.9361339,-4.42,75.94
ZINC05005451,Clc1c(cccc1)CNc2[n+](O)n(nc2[N+](=O)O)c3ccc(OC)cc3,66.01,0.98313934,-23.22,75.93
ZINC09096621,S(c1n(nnn1)C)Cc2nc(nc(n2)N)Nc3cc(OC)ccc3,-1.0,1.0834632,7.18,75.92
ZINC09096621,S(c1n(nnn1)C)Cc2nc(nc(n2)N)Nc3cc(OC)ccc3,55.9,1.0545434,10.33,75.92
ZINC32604834,O5CCN(c1nc(nc(n1)Nc2ccc(cc2)C)Nc4c3c(cncc3)ccc4)CC5,-1.0,1.1480235,-19.51,75.9
ZINC12785554,Brc3c(OCc1nc(nc(n1)N)Nc2ccc(Cl)cc2)ccc(c3)C(=O)O,-1.0,0.9858311,-18.64,75.86
ZINC94728568,O1c3c(OCC1)ccc(c2nc(nc(c2)C)NCCC)c3,75.58,1.0342741,-13.83,75.86
ZINC94729071,O(c2ccc(c1nc(nc(c1)C)NCCC)cc2)C(C)C,66.03,0.97666067,-14.64,75.85
