id,smiles
70095,Clc1ccc([C@@H](NC(=O)c2ccc(NC(=O)C)cc2)CC(=O)[O-])cc1
70096,O=C(Nc1c(C(=O)N)n(C)nc1)Nc1cc(C)c(C)cc1
70097,Clc1cc(NC(=O)Nc2c(C(=O)N)n(C)nc2)ccc1
70098,O=C(Nc1c(C(=O)N)cccc1)Nc1cc(C)c(C)cc1
70099,O=C(Nc1c(C(=O)N)n(C)nc1)Nc1ccc(CC)cc1
70100,Clc1c(NC(=S)NCc2ncccc2)ccc(Cl)c1
70101,Fc1c(NC(=O)N[C@H](CN2C(=O)CCC2)c2ccccc2)cc(C(=O)N)cc1
70102,S(=O)(=O)(C)c1ccc(CNC(=O)Nc2cnccc2)cc1
70103,Clc1cc(NC(=O)NCc2c[nH]nc2)ccc1
70104,O=C([O-])CCC(=O)Nc1nc2N(CC)C(=O)N(CC)c2cc1
70105,O=C(CNc1cc(Cc2ccccc2)c(OC)cc1)N1C(=O)NCC1
70106,O=C(Nc1cnc(N2CC(=O)NCC2)cc1)c1cc(N2C(=O)NCC2)ccc1
70107,Clc1cc(N2CCN(C(=O)NCc3n[nH]cc3)CC2)ccc1
70108,O=C(OCC=1c2c(c(C)c(O)cc2)OC(=O)C=1)c1cn(C)nc1
70109,Clc1c(F)ccc(S(=O)([O-])=Nc2ccc(C(=O)NCc3cc(CO)ccc3)cc2)c1
70110,Clc1n(-c2ccc(F)cc2)nc(C)c1C(=O)NCCc1ccc(S(=O)(=O)N)cc1
70111,O=C([O-])CCC(=O)Nc1nc2N(C)C(=O)N(C)c2cc1
70112,S(CCN1C(=O)CCC1=O)c1[nH]nc(-c2ccc(OC)cc2)n1
70113,Fc1ccc(C[C@@H]2C(=O)N(CCC(=O)N)C(=O)C2)cc1
70114,S(=O)(=O)(N)c1ccc(NC(=O)C2CCN(C(=O)c3c(C)sc(C)c3)CC2)cc1
70115,Fc1cc2NC(=O)C=C(C(=O)OCc3scnc3)c2cc1
70116,O=C(Nc1c(C(=O)N)ccs1)CCC(=O)N1CCC(Cc2ccccc2)CC1
