SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA,Rot
O(c3c(cc(c1nc(ncc1)NCc2ncccc2C)cc3)C(=O)O)CC,ZINC72481077,OK,364.4050000000002,3.556020000000002,2,6,97.23,7.0
O(c3c(cc(c1nc(ncc1)NCc2ncccc2C)cc3)C(=O)O)CC,ZINC72481077,OK,364.4050000000002,3.556020000000002,2,6,97.23,7.0
n1(ncc4c1ccc(c3c2c([nH]cc2)nc(NCCN(C)C)c3)c4)C,ZINC72168947,OK,334.4270000000001,3.0901000000000014,2,5,61.77,5.0
s1c(ncc1)Nc2ncnc(c2)C[C@H]3CN(S(=O)(=O)C)CCC3,ZINC72383434,OK,353.4730000000002,1.8908,1,7,88.08000000000001,5.0
S(=O)(=O)(c2ccc(c1oc(nn1)NC(=O)C(C)C)cc2)CC,ZINC36693910,OK,323.3740000000001,2.1247,1,6,102.16,5.0
n1nnc([nH]1)c5ccc(c4c2c([nH]cc2)nc(NCc3cnccc3)c4)cc5,ZINC72123848,OK,368.40400000000005,3.4171000000000014,3,6,108.06,5.0
S(=O)(=O)(c2ccc(c1oc(nn1)NC(=O)C(C)C)cc2)C(C)C,ZINC09814052,OK,337.40100000000007,2.5132000000000003,1,6,102.16,5.0
s3c1n(nc(n1)NC(=O)C2CC2)c(c3)c4ccc(N(=O)O)cc4,ZINC94986176,INVALID,-999.0,-999.0,-999,-999,-999.0,
O=C(N3C[C@@H](c1nc(ncc1)Nc2ncccc2)CCC3)C,ZINC72377474,OK,297.36200000000014,2.3411,1,5,71.01,3.0
S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2ccc(cc2)C(=O)C)cc3)CC,ZINC36693875,OK,399.42800000000017,2.985100000000002,1,7,119.22999999999999,6.0
O=C(N3C[C@H](c1nc(ncc1)Nc2ncccc2)CCC3)C,ZINC72377475,OK,297.36200000000014,2.3411,1,5,71.01,3.0
S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2ccc(cc2)C#N)cc3)CC,ZINC36693874,OK,382.4010000000001,2.654180000000001,1,7,125.94999999999999,5.0
n1nnc([nH]1)c5ccc(c4c2c([nH]cc2)nc(NCc3ncccc3)c4)cc5,ZINC72154000,OK,368.40400000000005,3.4171000000000014,3,6,108.06,5.0
n1nnc([nH]1)c5ccc(c4c2c([nH]cc2)nc(NCc3cnccc3)c4)cc5,ZINC72123848,OK,368.40400000000005,3.4171000000000014,3,6,108.06,5.0
S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2c(cc(cc2)C)C)cc3)C,ZINC05240672,OK,371.41800000000006,3.009240000000002,1,6,102.16,4.0
S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2c(cccc2)C)cc3)C,ZINC05240628,OK,357.391,2.700820000000001,1,6,102.16,4.0
Clc4ccc(n1[nH]c2nccc(c2c1=O)c3ccc(OC)cc3)cc4,ZINC10157165,OK,351.79300000000006,4.0428000000000015,1,4,59.91,3.0
S(=O)(=O)(c2ccc(c1oc(nn1)NC(=O)C(C)(C)C)cc2)C(C)C,ZINC09814060,OK,351.42800000000005,2.9033000000000015,1,6,102.16,4.0
S(=O)(=O)(c2ccc(c1oc(nn1)NC(=O)C(C)(C)C)cc2)CC,ZINC36693912,OK,337.40100000000007,2.514800000000001,1,6,102.16,4.0
O=c1n([nH]c2nccc(c12)c4cc3OCOc3cc4)c5cc(c(cc5)C)C,ZINC10157185,OK,359.3850000000001,3.726340000000002,1,5,69.14,2.0
Clc1ccc(cc1)[C@@H]4Nc2n(nnn2)[C@H](c3ccc(OC(F)F)cc3)C4,ZINC02918161,OK,377.7820000000001,4.074200000000001,1,6,64.86,4.0
