Name,Smiles,Unaligned Pharm. Score,CNNaffinity,CNNaffinity_variance,rmsd,Binding Affinity Score,CNNscore,CNN_VS,Pharm. Score,minimizedAffinity
ZINC13123354,s1c(ccc1)C(=O)Nc2nn4c(n2)NC(c3ccc(OC)cc3)CC4c5ccc(OC)cc5,86.2,6.8452425,0.64998245,0.9362792,-17.74,0.5175516,3.5427663,86.02,6.23764
ZINC66750380,Fc3c(ccc(OCc1nc(nc(n1)N)Nc2ccc(F)cc2)c3)C#N,-1.0,7.1378603,0.06832923,1.1752594,-11.71,0.965327,6.8903694,86.01,-8.39358
ZINC02638281,Clc1ccc(cc1)C(=O)c3sc2n(c(=O)[nH]c(=O)c2c3N)c4ccc(cc4)C(=O)C,-1.0,7.281266,0.14179042,0.9551547,-13.48,0.9616498,7.002028,85.96,-9.54872
ZINC72143794,O=C(c4cnc(c3c1c([nH]cc1)nc(NCc2ccncc2)c3)cc4)C,86.33,7.222337,0.056779135,0.8177548,-7.1,0.9840878,7.107414,85.91,-9.82023
ZINC06941524,FC(F)Oc1ccc(cc1)C4n2nnnc2NC(c3ccccc3)C4,76.44,6.6062174,0.20468298,0.9360904,-8.07,0.83731055,5.5314555,85.9,-8.9383
ZINC72416767,ClCC(=O)Nc2nc(c1ccc(N(=O)O)cc1)ccn2,-1.0,6.119195,0.02823045,0.99290514,-7.41,0.96632075,5.913105,85.83,-8.119
ZINC93701721,S(=O)(=O)(N2CC(Cn1ncnc1CNCC)CCC2)C,65.99,6.164347,0.07722407,1.0460892,-0.94,0.72204983,4.450966,85.77,-6.12049
ZINC04716626,o1nc3c(n1)c(NCc2ccc(OC)cc2)cc(NCCCO)c3N(=O)O,76.38,6.623149,0.27345124,0.8804717,-8.58,0.790999,5.238904,85.73,-7.38807
ZINC11847565,o1nc4c(n1)c(NCc3cc2OCOc2cc3)cc(NCCCO)c4N(=O)O,76.38,6.795474,0.29270893,0.88719773,-12.64,0.7963505,5.411579,85.72,-7.82683
ZINC11847565,o1nc4c(n1)c(NCc3cc2OCOc2cc3)cc(NCCCO)c4N(=O)O,-1.0,6.132531,0.09619275,0.93470806,-4.1,0.38499457,2.3609912,85.72,-7.89744
ZINC72168663,O(c4nnc(c3c1c([nH]cc1)nc(NC2CCCC2)c3)cc4)CC,55.9,6.763028,0.056893535,1.0585372,-12.09,0.93513775,6.3243628,85.72,-8.6061
ZINC11296914,Clc4cc(N(c1scc(n1)C=C(c2nc(nc(n2)N)Nc3ccccc3)C#N)C(=O)C)ccc4,-1.0,7.57133,0.3401827,1.1279796,-25.61,0.8346686,6.3195515,85.7,-9.77559
ZINC15838189,O(c4ccc(c2nc(nc(c1ccc(cc1)C)c2)NC(=O)c3c(cccc3)C)cc4)C,75.99,6.8611183,0.20534185,0.9707391,-28.69,0.6851727,4.7010508,85.7,-1.86396
ZINC21792804,O(c3ccc(c2nc(nc(c1ccc(cc1)C)c2)NC(=O)CC(C)C)cc3)C,-1.0,6.9393425,0.1961365,0.95469874,-19.22,0.7212244,5.004823,85.7,-7.54814
ZINC21525640,Clc4ccc(c2nc(nc(c1ccc(OC)cc1)c2)NC(=O)c3occc3)cc4,76.12,7.131077,0.07039351,0.97006804,-26.93,0.85114783,6.0696006,85.69,-9.09674
ZINC04716627,o1nc3c(n1)c(NCc2ccc(cc2)C)cc(NCCCO)c3N(=O)O,76.38,6.5608926,0.26406667,0.88047945,-8.02,0.79613656,5.2233663,85.69,-7.69194
ZINC01266821,O(c1ccc(OC)cc1)Cc2nc(nc(n2)N)Nc3ccccc3,66.05,6.2339687,0.095239505,1.15025,-18.81,0.96063036,5.9885397,85.67,-7.28199
ZINC21525642,Clc3ccc(c2nc(nc(c1ccc(OC)cc1)c2)NC(=O)CC(C)C)cc3,-1.0,7.046323,0.09894766,0.9547901,-21.6,0.72388667,5.100739,85.65,-8.07457
ZINC11847565,o1nc4c(n1)c(NCc3cc2OCOc2cc3)cc(NCCCO)c4N(=O)O,76.41,6.6455827,0.350075,0.8859689,-9.31,0.7358961,4.8904586,85.64,-7.74728
ZINC13940522,O(c4ccc(Nc1nc(nc(n1)Nc2ccc(OC)cc2)NN=CC=Cc3ccc(N(C)C)cc3)cc4)C,-1.0,6.6072745,0.21465266,0.8129657,-28.89,0.26779625,1.7694033,85.59,-8.61644
ZINC46016866,S(c3nn(c1nc(nc(n1)NCC)NC2CC2)cn3)CC(=O)OC,55.85,6.716825,0.24652338,1.0744796,-4.63,0.9155339,6.149481,85.59,-6.55012
